RMSE,Penalty
0.000811136,21
0.141598,17
0.408424,13
0.111475,13
0.161593,15
0.491357,11
0.0200753,15
0.21883,8
0.163046,12
0.514524,10
0.422368,10
0.484814,8
0.555425,8
0.0201486,13
0.0942497,6
0.0534558,11
0.0318407,12
0.104228,8
0.0597724,8
0.0505976,12
0.0941735,6
0.0541117,4
0.0053857,8
0.542876,6
0.0613987,8
0.124051,2
0.0699563,7
0.0366234,9
0.0287256,7
0.0532806,7
0.0781816,8
0.0631506,6
0.0379896,10
0.0716464,5
0.0639624,6
0.0714463,5
0.0583058,10
0.0830013,9
0.107691,6
0.115899,5
0.276115,5
0.0644362,8
0.103674,5
0.0898285,8
0.111882,6
0.0833812,7
0.00620796,6
0.0639911,8
0.059884,6
0.0513008,8
0.00354931,11
0.0489465,12
0.0654685,6
0.0576388,8
0.67059,6
0.0821291,5
0.0581416,9
0.00325385,8
0.0615036,9
0.0576076,9
0.0512007,10
0.0703883,9
0.0413813,8
0.0569145,5
0.057992,7
0.0913931,6
0.0916791,4
0.0895758,6
0.0257041,8
0.0293531,8
0.0518756,6
0.0244587,11
0.0757453,7
0.0623807,6
0.103544,10
0.0489609,7
0.0716991,7
0.0383545,11
0.115879,4
0.0156011,14
0.0829306,6
0.0651739,8
0.0813545,6
0.095135,6
0.0724415,4
0.129194,2
0.117399,4
0.0629414,6
0.0536449,6
0.0792136,6
0.0578199,7
0.0509953,7
0.11423,5
0.00824797,7
0.11067,4
0.0830486,4
0.599312,8
0.0721651,8
0.0450965,10
0.0796443,6
0.000975321,21
0.147926,17
0.400225,13
0.153262,13
0.199432,15
0.497242,11
0.0141668,16
0.0569294,9
0.252217,8
0.0351069,13
0.0766992,10
0.0519856,11
0.000387439,14
0.0538914,12
0.0754317,7
0.0361528,10
0.090365,6
0.07713,8
0.0582609,10
0.0581807,8
0.120971,4
0.081022,8
0.00220801,12
0.0660253,7
0.113413,6
0.0753954,7
0.0535337,10
0.0764944,6
0.0557145,8
0.0383799,11
0.0800386,7
0.0419812,8
0.0784976,9
0.0821461,7
0.0592508,9
0.0640924,6
0.0938333,6
0.30668,9
0.0816653,5
0.106175,3
0.0659456,5
0.0596459,8
0.0745762,8
0.079907,5
0.0587618,7
0.062692,7
0.00778464,4
0.0383135,10
0.0974798,5
0.119517,5
0.0050899,8
0.0423362,11
0.0695085,6
0.783241,6
0.657922,5
0.0594057,7
0.0623537,7
0.00367854,4
0.0939256,7
0.11703,4
0.110524,7
0.0759573,8
0.0897608,7
0.0435135,6
0.0657624,7
0.126985,3
0.0775374,5
0.0882959,4
0.0760809,5
0.0449261,11
0.0768133,4
0.0779531,8
0.0786175,9
0.113557,6
0.0539433,10
0.0640257,5
0.0465352,7
0.00338901,7
0.0850737,7
0.06806,6
0.070681,7
0.0752947,7
0.0608624,7
0.0610757,10
0.0681987,6
0.117675,4
0.0701018,7
0.0731682,7
0.0422564,7
0.0409292,8
0.0516788,8
0.058749,8
0.0826667,5
0.00156701,8
0.072314,5
0.0723923,6
0.680017,4
0.0348283,11
0.0312817,13
0.601515,5
0.000975321,21
0.368541,10
0.332521,12
0.0636156,8
0.599516,7
0.883371,5
0.0725928,8
0.665525,4
0.0871399,5
0.0265315,10
0.0437541,7
0.126985,3
0.670277,4
0.0847287,3
0.0607642,4
0.0607642,5
0.106175,3
0.128232,1
0.00760581,4
0.0648215,6
0.871286,3
0.0656637,6
0.128232,1
0.842138,3
0.0709471,5
0.0431041,6
0.126832,2
0.095345,6
0.0416645,7
0.123281,3
0.12771,3
0.0806569,3
0.09076,3
0.0870008,2
0.0625843,6
0.0759935,5
0.0804876,4
0.00406958,4
0.128232,1
0.0660162,5
0.0476607,5
0.0714138,4
0.10013,4
0.107854,3
0.12771,3
0.0860595,6
0.0619802,5
0.897466,2
0.0899483,3
0.0929636,4
0.0698167,6
0.116363,3
0.0443498,7
0.125206,2
0.00800352,5
0.128232,2
0.11325,5
0.0549936,4
0.0892459,3
0.0779869,4
0.114577,2
0.0997116,5
0.00536863,3
0.054135,4
0.0679309,4
0.0744878,5
0.0822196,4
0.112106,4
0.0792335,7
0.0448428,4
0.112677,5
0.128232,1
0.0684049,7
0.0842871,4
0.110373,2
0.090102,4
0.119516,3
0.128232,1
0.0809807,3
0.00884581,3
0.122673,3
0.126564,2
0.114501,5
0.00914924,2
0.0568645,3
0.00588415,6
0.00372444,6
0.101595,3
0.00873347,6
0.0574884,3
0.0548301,5
0.0949605,5
0.0777554,4
0.00362981,6
0.119439,4
